Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Apr 2025 7:48:48 PM

Recipient,2024,2024-2024,Percentage,Sum total years,Percentage of total
Albania,5,5,0.0%,5,0.0%
Algeria,40,40,0.3%,40,0.3%
Argentina,13,13,0.1%,13,0.1%
Australia,914,914,6.8%,914,6.8%
Austria,1,1,0.0%,1,0.0%
Azerbaijan,3,3,0.0%,3,0.0%
Bahrain,848,848,6.3%,848,6.3%
Bangladesh,2,2,0.0%,2,0.0%
Belgium,430,430,3.2%,430,3.2%
Benin,0 ,0 ,0.0%,0 ,0.0%
Bolivia,0 ,0 ,0.0%,0 ,0.0%
Botswana,11,11,0.1%,11,0.1%
Brazil,7,7,0.0%,7,0.0%
Canada,103,103,0.8%,103,0.8%
Colombia,19,19,0.1%,19,0.1%
Czechia,41,41,0.3%,41,0.3%
DR Congo,2,2,0.0%,2,0.0%
Denmark,394,394,2.9%,394,2.9%
Dominican Republic,1,1,0.0%,1,0.0%
Ecuador,12,12,0.1%,12,0.1%
Egypt,26,26,0.2%,26,0.2%
El Salvador,0 ,0 ,0.0%,0 ,0.0%
France,8,8,0.1%,8,0.1%
Georgia,2,2,0.0%,2,0.0%
Germany,200,200,1.5%,200,1.5%
Greece,158,158,1.2%,158,1.2%
Guyana,5,5,0.0%,5,0.0%
Hungary,125,125,0.9%,125,0.9%
India,102,102,0.8%,102,0.8%
Indonesia,83,83,0.6%,83,0.6%
Iraq,12,12,0.1%,12,0.1%
Israel,178,178,1.3%,178,1.3%
Italy,392,392,2.9%,392,2.9%
Japan,899,899,6.7%,899,6.7%
Jordan,9,9,0.1%,9,0.1%
Kenya,2,2,0.0%,2,0.0%
Kuwait,12,12,0.1%,12,0.1%
Lithuania,44,44,0.3%,44,0.3%
Montenegro,5,5,0.0%,5,0.0%
Netherlands,315,315,2.3%,315,2.3%
New Zealand,200,200,1.5%,200,1.5%
Nigeria,7,7,0.1%,7,0.1%
North Macedonia,1,1,0.0%,1,0.0%
Norway,334,334,2.5%,334,2.5%
Pakistan,3,3,0.0%,3,0.0%
